PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS ,,,,,,,,,,,,,,
REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 25-64,AGE 25-49,AGE 50-64,AGE 65
National,X,1997,40,570,46842,192,1.101482559,1.216856667,179,205,157,X,X,29
National,X,1997,41,615,48023,191,1.200068217,1.280636362,199,242,151,X,X,23
National,X,1997,42,681,54961,219,1.378763291,1.239060425,228,266,153,X,X,34
National,X,1997,43,653,57044,213,1.19919935,1.144730384,188,236,193,X,X,36
National,X,1997,44,700,55506,213,1.656177824,1.261124923,217,280,162,X,X,41
National,X,1997,45,655,51062,195,1.413264679,1.282754299,178,281,148,X,X,48
National,X,1997,46,932,64463,248,1.986796537,1.445790609,294,328,240,X,X,70
National,X,1997,47,1100,66749,256,2.447493917,1.647964764,288,456,293,X,X,63
National,X,1997,48,886,52890,252,1.739008693,1.675174891,268,343,206,X,X,69
National,X,1997,49,1098,67887,253,1.939187649,1.61739361,299,415,282,X,X,102
National,X,1997,50,1083,61314,242,2.281662008,1.766317644,346,388,268,X,X,81
National,X,1997,51,1004,47719,190,2.507606283,2.103983738,348,362,235,X,X,59
National,X,1997,52,1519,48429,251,4.113516942,3.136550414,510,492,404,X,X,113
National,X,1997,53,1946,52333,250,5.623719971,3.718495022,579,576,584,X,X,207
National,X,1998,1,2415,67228,254,4.373979576,3.592253228,639,810,759,X,X,207
National,X,1998,2,2613,70828,255,4.194341059,3.689218953,690,1121,654,X,X,148
National,X,1998,3,3126,67898,245,5.421234978,4.603964771,856,1440,679,X,X,151
National,X,1998,4,3437,69999,245,5.661365678,4.910070144,824,1600,817,X,X,196
National,X,1998,5,3354,69486,239,5.97801531,4.8268716,881,1471,769,X,X,233
National,X,1998,6,2617,66322,234,4.735801042,3.945900305,699,1101,671,X,X,146
National,X,1998,7,1948,62675,223,3.445811756,3.108097327,457,849,523,X,X,119
National,X,1998,8,1289,60247,217,2.477993436,2.13952562,313,534,330,X,X,112
National,X,1998,9,827,57449,211,1.657321018,1.439537677,241,308,214,X,X,64
National,X,1998,10,748,50582,208,1.969521471,1.47878692,201,305,183,X,X,59
National,X,1998,11,585,53889,200,1.585445472,1.085564772,162,249,123,X,X,51
National,X,1998,12,486,48699,177,1.804740422,0.997967104,156,196,93,X,X,41
National,X,1998,13,358,48105,182,1.046239644,0.744205384,90,144,92,X,X,32
National,X,1998,14,368,42959,170,1.400403942,0.856630741,82,152,93,X,X,41
National,X,1998,15,262,42140,156,0.796869917,0.621737067,64,106,73,X,X,19
National,X,1998,16,265,39496,155,0.717097051,0.670954021,82,100,68,X,X,15
National,X,1998,17,266,38324,148,1.002380517,0.694082037,58,120,61,X,X,27
National,X,1998,18,209,35821,136,0.908403389,0.583456632,39,93,64,X,X,13
National,X,1998,19,186,32200,131,0.443013613,0.577639752,79,61,37,X,X,9
National,X,1998,20,165,27263,120,0.638986477,0.60521586,54,52,40,X,X,19
National,X,1998,21,,,,,,X,X,X,X,X,X
National,X,1998,22,,,,,,X,X,X,X,X,X
National,X,1998,23,,,,,,X,X,X,X,X,X
National,X,1998,24,,,,,,X,X,X,X,X,X
National,X,1998,25,,,,,,X,X,X,X,X,X
National,X,1998,26,,,,,,X,X,X,X,X,X
National,X,1998,27,,,,,,X,X,X,X,X,X
National,X,1998,28,,,,,,X,X,X,X,X,X
National,X,1998,29,,,,,,X,X,X,X,X,X
National,X,1998,30,,,,,,X,X,X,X,X,X
National,X,1998,31,,,,,,X,X,X,X,X,X
National,X,1998,32,,,,,,X,X,X,X,X,X
National,X,1998,33,,,,,,X,X,X,X,X,X
National,X,1998,34,,,,,,X,X,X,X,X,X
National,X,1998,35,,,,,,X,X,X,X,X,X
National,X,1998,36,,,,,,X,X,X,X,X,X
National,X,1998,37,,,,,,X,X,X,X,X,X
National,X,1998,38,,,,,,X,X,X,X,X,X
National,X,1998,39,,,,,,X,X,X,X,X,X
National,X,1998,40,490,70272,304,1.577326554,0.697290528,115,210,139,X,X,26
National,X,1998,41,605,77092,328,1.308797693,0.784776631,133,262,174,X,X,36
National,X,1998,42,783,86720,350,1.417441661,0.902905904,217,287,225,X,X,54
National,X,1998,43,1086,95437,377,1.182716298,1.137923447,278,530,226,X,X,52
National,X,1998,44,1034,101821,388,2.334319335,1.015507606,298,414,262,X,X,60
National,X,1998,45,1022,102108,400,1.815768142,1.000901007,258,402,292,X,X,70
National,X,1998,46,1178,103429,372,2.179748397,1.138945557,355,478,281,X,X,64
National,X,1998,47,1208,83346,403,2.112401305,1.449379694,291,512,322,X,X,83
National,X,1998,48,1176,103241,392,2.048535985,1.139082341,319,453,310,X,X,94
National,X,1998,49,1202,103600,399,1.932482852,1.16023166,353,461,303,X,X,85
National,X,1998,50,1141,97416,396,1.904682693,1.171265501,312,426,320,X,X,83
National,X,1998,51,1064,71380,384,2.559827959,1.490613617,335,359,296,X,X,74
National,X,1998,52,1423,77216,382,3.991078297,1.842882304,418,377,466,X,X,162
National,X,1999,1,1780,97593,396,3.085814713,1.823901304,439,548,659,X,X,134
National,X,1999,2,2407,94632,396,4.163828853,2.54353707,431,874,962,X,X,140
National,X,1999,3,3864,106864,399,5.580490639,3.61581075,801,1689,1168,X,X,206
National,X,1999,4,4545,111421,397,5.253280685,4.079123325,755,2185,1419,X,X,186
National,X,1999,5,5670,111667,397,6.746671054,5.077596783,970,2919,1562,X,X,219
National,X,1999,6,5768,114244,379,7.571883281,5.048842828,1029,2911,1591,X,X,237
National,X,1999,7,4920,104830,376,6.87286958,4.693312983,822,2275,1599,X,X,224
National,X,1999,8,4486,105946,352,6.350975675,4.234232534,800,1932,1520,X,X,234
National,X,1999,9,3910,97176,359,5.410989547,4.023627233,769,1543,1357,X,X,241
National,X,1999,10,2922,97612,351,4.550080621,2.993484408,539,1140,1041,X,X,202
National,X,1999,11,2070,87063,339,3.85915194,2.377588643,458,778,704,X,X,130
National,X,1999,12,1696,84079,321,2.9960097,2.017150537,378,641,548,X,X,129
National,X,1999,13,1091,79237,313,1.978140424,1.376882012,243,397,382,X,X,69
National,X,1999,14,632,71588,277,1.168872511,0.882829525,127,265,202,X,X,38
National,X,1999,15,396,64515,268,1.093016104,0.613810742,102,175,102,X,X,17
National,X,1999,16,271,64253,258,0.633168672,0.42177019,59,133,66,X,X,13
National,X,1999,17,399,64824,255,0.639560906,0.615512773,111,150,118,X,X,20
National,X,1999,18,180,59546,237,1.55530896,0.302287307,35,84,50,X,X,11
National,X,1999,19,292,55872,227,0.80801959,0.522623139,102,86,88,X,X,16
National,X,1999,20,283,53444,222,1.339972117,0.529526233,100,100,68,X,X,15
National,X,1999,21,,,,,,X,X,X,X,X,X
National,X,1999,22,,,,,,X,X,X,X,X,X
National,X,1999,23,,,,,,X,X,X,X,X,X
National,X,1999,24,,,,,,X,X,X,X,X,X
National,X,1999,25,,,,,,X,X,X,X,X,X
National,X,1999,26,,,,,,X,X,X,X,X,X
National,X,1999,27,,,,,,X,X,X,X,X,X
National,X,1999,28,,,,,,X,X,X,X,X,X
National,X,1999,29,,,,,,X,X,X,X,X,X
National,X,1999,30,,,,,,X,X,X,X,X,X
National,X,1999,31,,,,,,X,X,X,X,X,X
National,X,1999,32,,,,,,X,X,X,X,X,X
National,X,1999,33,,,,,,X,X,X,X,X,X
National,X,1999,34,,,,,,X,X,X,X,X,X
National,X,1999,35,,,,,,X,X,X,X,X,X
National,X,1999,36,,,,,,X,X,X,X,X,X
National,X,1999,37,,,,,,X,X,X,X,X,X
National,X,1999,38,,,,,,X,X,X,X,X,X
National,X,1999,39,,,,,,X,X,X,X,X,X
National,X,1999,40,791,80941,316,0.831218931,0.977255038,264,273,228,X,X,26
National,X,1999,41,997,93434,361,1.40444812,1.067063382,292,351,297,X,X,57
National,X,1999,42,1067,113187,386,1.317205623,0.942687764,346,371,293,X,X,57
National,X,1999,43,1089,107163,355,1.381608366,1.016208953,371,367,289,X,X,62
National,X,1999,44,1570,131448,449,1.416065949,1.194388656,438,607,434,X,X,91
National,X,1999,45,1570,126461,456,1.4843774,1.241489471,473,535,461,X,X,101
National,X,1999,46,1701,132304,459,1.526141275,1.285675414,443,622,544,X,X,92
National,X,1999,47,1833,108377,455,1.853360493,1.691318269,483,504,714,X,X,132
National,X,1999,48,2484,142980,469,2.329069252,1.737305917,518,835,994,X,X,137
National,X,1999,49,3264,139657,480,2.702540831,2.3371546,643,1124,1316,X,X,181
National,X,1999,50,4208,143607,475,3.504540497,2.930219279,828,1405,1676,X,X,299
National,X,1999,51,5168,116927,472,5.407989038,4.419851702,1130,1399,2189,X,X,450
National,X,1999,52,6846,121233,471,7.042283827,5.646977308,1339,1697,3146,X,X,664
National,X,2000,1,7272,141197,482,6.768455999,5.150251068,1314,2043,3250,X,X,665
National,X,2000,2,5470,140143,467,5.52807665,3.903156062,1011,1746,2251,X,X,462
National,X,2000,3,3857,132462,450,3.805084896,2.911778472,851,1334,1357,X,X,315
National,X,2000,4,2901,134511,433,3.411769598,2.156700939,722,1048,962,X,X,169
National,X,2000,5,2478,136683,441,2.400001605,1.812954062,633,914,786,X,X,145
National,X,2000,6,2223,137511,437,1.891199561,1.616597945,599,862,646,X,X,116
National,X,2000,7,1668,131648,413,1.355030912,1.26701507,539,610,447,X,X,72
National,X,2000,8,1325,116119,382,1.332121272,1.141070798,452,481,328,X,X,64
National,X,2000,9,1385,112138,370,1.491274397,1.235085341,499,477,360,X,X,49
National,X,2000,10,1088,106737,363,1.26826077,1.019327881,381,394,256,X,X,57
National,X,2000,11,934,100814,338,1.058538077,0.926458627,342,342,206,X,X,44
National,X,2000,12,917,100658,326,0.922010012,0.911005583,305,346,229,X,X,37
National,X,2000,13,837,101612,320,0.892333809,0.823721608,282,320,206,X,X,29
National,X,2000,14,666,91806,295,0.929201072,0.725442782,186,286,171,X,X,23
National,X,2000,15,522,90035,289,0.655591798,0.579774532,178,196,127,X,X,21
National,X,2000,16,347,76910,280,0.607002119,0.4511767,107,120,96,X,X,24
National,X,2000,17,347,79100,274,0.600003391,0.438685209,112,141,80,X,X,14
National,X,2000,18,324,73550,257,0.54724686,0.440516655,93,147,77,X,X,7
National,X,2000,19,239,67962,248,0.476416623,0.351667108,67,85,77,X,X,10
National,X,2000,20,219,59761,233,0.445917279,0.366459731,79,65,64,X,X,11
National,X,2000,21,,,,,,X,X,X,X,X,X
National,X,2000,22,,,,,,X,X,X,X,X,X
National,X,2000,23,,,,,,X,X,X,X,X,X
National,X,2000,24,,,,,,X,X,X,X,X,X
National,X,2000,25,,,,,,X,X,X,X,X,X
National,X,2000,26,,,,,,X,X,X,X,X,X
National,X,2000,27,,,,,,X,X,X,X,X,X
National,X,2000,28,,,,,,X,X,X,X,X,X
National,X,2000,29,,,,,,X,X,X,X,X,X
National,X,2000,30,,,,,,X,X,X,X,X,X
National,X,2000,31,,,,,,X,X,X,X,X,X
National,X,2000,32,,,,,,X,X,X,X,X,X
National,X,2000,33,,,,,,X,X,X,X,X,X
National,X,2000,34,,,,,,X,X,X,X,X,X
National,X,2000,35,,,,,,X,X,X,X,X,X
National,X,2000,36,,,,,,X,X,X,X,X,X
National,X,2000,37,,,,,,X,X,X,X,X,X
National,X,2000,38,,,,,,X,X,X,X,X,X
National,X,2000,39,,,,,,X,X,X,X,X,X
National,X,2000,40,1041,84727,337,1.04113364,1.228652024,206,443,322,X,X,70
National,X,2000,41,1234,116917,451,1.287098441,1.055449592,270,489,389,X,X,86
National,X,2000,42,1561,134587,487,1.28298748,1.159844562,390,617,458,X,X,96
National,X,2000,43,1781,145165,507,1.340807293,1.226879758,411,683,564,X,X,123
National,X,2000,44,1870,150676,526,1.055496602,1.241073562,465,703,564,X,X,138
National,X,2000,45,2229,155700,545,1.141358706,1.431599229,564,849,635,X,X,181
National,X,2000,46,2449,163893,571,1.441105039,1.494267601,572,979,736,X,X,162
National,X,2000,47,2417,131168,569,1.957345835,1.842675043,704,913,646,X,X,154
National,X,2000,48,2854,178641,581,1.619278605,1.597617568,673,1085,900,X,X,196
National,X,2000,49,3097,178529,595,1.784402024,1.734732172,710,1232,916,X,X,239
National,X,2000,50,3394,165935,600,2.344233922,2.045379215,677,1455,1077,X,X,185
National,X,2000,51,3361,139431,585,2.695276,2.410511292,767,1337,1052,X,X,205
National,X,2000,52,4152,122719,587,3.86180307,3.383339173,1059,1335,1496,X,X,262
National,X,2001,1,4796,148538,591,3.504997855,3.228803404,1049,1571,1855,X,X,321
National,X,2001,2,5544,177720,611,3.438035545,3.119513842,1081,2423,1722,X,X,318
National,X,2001,3,6717,176566,617,4.392799268,3.804243173,1395,3223,1806,X,X,293
National,X,2001,4,7908,188879,626,4.21338703,4.186807427,1542,4057,1991,X,X,318
National,X,2001,5,7287,182792,578,4.353639882,3.986498315,1329,3705,1958,X,X,295
National,X,2001,6,6476,179586,566,3.699693268,3.606071743,1370,3017,1731,X,X,358
National,X,2001,7,4832,171948,566,2.819212492,2.810151906,1059,2126,1393,X,X,254
National,X,2001,8,3923,162402,540,2.552941301,2.415610645,834,1566,1278,X,X,245
National,X,2001,9,2606,150399,511,1.901665918,1.732724287,683,1008,752,X,X,163
National,X,2001,10,2562,155916,510,1.680326603,1.643192488,622,934,854,X,X,152
National,X,2001,11,1943,143075,472,1.625397266,1.358029006,524,762,522,X,X,135
National,X,2001,12,1879,135154,460,1.459567028,1.390265919,485,751,507,X,X,136
National,X,2001,13,1590,129934,442,1.323759128,1.223698185,465,575,419,X,X,131
National,X,2001,14,1256,112235,371,0.920073257,1.119080501,288,421,421,X,X,126
National,X,2001,15,950,101175,349,0.779256523,0.938967136,219,344,305,X,X,82
National,X,2001,16,997,105580,342,0.991302637,0.944307634,234,331,344,X,X,88
National,X,2001,17,771,103824,334,0.826930031,0.742602866,198,274,253,X,X,46
National,X,2001,18,734,99802,322,0.588951894,0.735456203,173,265,225,X,X,71
National,X,2001,19,671,92532,293,0.605586208,0.725154541,165,250,196,X,X,60
National,X,2001,20,470,70113,262,0.494339755,0.670346441,94,179,159,X,X,38
National,X,2001,21,,,,,,X,X,X,X,X,X
National,X,2001,22,,,,,,X,X,X,X,X,X
National,X,2001,23,,,,,,X,X,X,X,X,X
National,X,2001,24,,,,,,X,X,X,X,X,X
National,X,2001,25,,,,,,X,X,X,X,X,X
National,X,2001,26,,,,,,X,X,X,X,X,X
National,X,2001,27,,,,,,X,X,X,X,X,X
National,X,2001,28,,,,,,X,X,X,X,X,X
National,X,2001,29,,,,,,X,X,X,X,X,X
National,X,2001,30,,,,,,X,X,X,X,X,X
National,X,2001,31,,,,,,X,X,X,X,X,X
National,X,2001,32,,,,,,X,X,X,X,X,X
National,X,2001,33,,,,,,X,X,X,X,X,X
National,X,2001,34,,,,,,X,X,X,X,X,X
National,X,2001,35,,,,,,X,X,X,X,X,X
National,X,2001,36,,,,,,X,X,X,X,X,X
National,X,2001,37,,,,,,X,X,X,X,X,X
National,X,2001,38,,,,,,X,X,X,X,X,X
National,X,2001,39,,,,,,X,X,X,X,X,X
National,X,2001,40,1368,137156,607,1.410456796,0.997404415,429,485,372,X,X,82
National,X,2001,41,1747,159264,646,1.770192909,1.096920836,479,628,526,X,X,114
National,X,2001,42,1932,165425,690,1.619038126,1.167900861,562,697,560,X,X,113
National,X,2001,43,2204,174566,710,1.770646898,1.26255972,567,876,643,X,X,118
National,X,2001,44,2371,182365,746,1.938906914,1.300139829,655,883,665,X,X,168
National,X,2001,45,2327,190992,758,1.63439406,1.218375639,626,865,687,X,X,149
National,X,2001,46,2508,187174,770,1.903631382,1.339929691,693,862,811,X,X,142
National,X,2001,47,2090,141523,764,1.805561352,1.476791758,602,643,698,X,X,147
National,X,2001,48,2566,181932,728,1.755056963,1.410417079,638,866,877,X,X,185
National,X,2001,49,2275,180095,762,1.530231791,1.263222188,602,848,676,X,X,149
National,X,2001,50,2169,170971,756,1.461608256,1.268636201,666,780,570,X,X,153
National,X,2001,51,2278,148450,696,1.960482742,1.534523409,707,725,684,X,X,162
National,X,2001,52,2265,106451,691,2.204354692,2.127739523,719,656,718,X,X,172
National,X,2002,1,2568,132274,728,2.134798959,1.941424619,785,752,808,X,X,223
National,X,2002,2,2875,171747,742,1.894411061,1.673973927,837,969,869,X,X,200
National,X,2002,3,3743,180969,749,2.831087624,2.068310042,1067,1533,948,X,X,195
National,X,2002,4,4797,166968,728,3.304810322,2.873005606,1460,2004,1156,X,X,177
National,X,2002,5,5557,188431,729,3.610627613,2.949090118,1556,2351,1415,X,X,235
National,X,2002,6,5624,192039,728,3.427990409,2.928571801,1542,2330,1478,X,X,274
National,X,2002,7,5924,187242,712,3.767150903,3.163820083,1557,2436,1573,X,X,358
National,X,2002,8,5760,184544,708,3.600180706,3.121206867,1509,2359,1544,X,X,348
National,X,2002,9,5104,186608,707,3.200241627,2.735145331,1208,1997,1529,X,X,370
National,X,2002,10,3631,168647,674,2.926326945,2.153017842,848,1558,1007,X,X,218
National,X,2002,11,2977,154942,652,2.858571337,1.921364123,731,1252,832,X,X,162
National,X,2002,12,2417,148527,617,2.347447501,1.627313552,567,1092,607,X,X,151
National,X,2002,13,2079,142223,582,2.234980773,1.461788881,547,913,488,X,X,131
National,X,2002,14,1655,138645,575,1.993549107,1.19369613,397,692,449,X,X,117
National,X,2002,15,1169,130554,551,1.371675468,0.895414924,327,467,292,X,X,83
National,X,2002,16,1018,124465,523,1.270328265,0.817900615,247,442,262,X,X,67
National,X,2002,17,830,117581,504,0.999330535,0.705896361,235,389,155,X,X,51
National,X,2002,18,672,109945,475,1.171996722,0.611214698,209,269,147,X,X,47
National,X,2002,19,673,106720,458,1.034721224,0.630622189,169,302,156,X,X,46
National,X,2002,20,576,100422,449,0.703599154,0.573579495,159,236,142,X,X,39
National,X,2002,21,,,,,,X,X,X,X,X,X
National,X,2002,22,,,,,,X,X,X,X,X,X
National,X,2002,23,,,,,,X,X,X,X,X,X
National,X,2002,24,,,,,,X,X,X,X,X,X
National,X,2002,25,,,,,,X,X,X,X,X,X
National,X,2002,26,,,,,,X,X,X,X,X,X
National,X,2002,27,,,,,,X,X,X,X,X,X
National,X,2002,28,,,,,,X,X,X,X,X,X
National,X,2002,29,,,,,,X,X,X,X,X,X
National,X,2002,30,,,,,,X,X,X,X,X,X
National,X,2002,31,,,,,,X,X,X,X,X,X
National,X,2002,32,,,,,,X,X,X,X,X,X
National,X,2002,33,,,,,,X,X,X,X,X,X
National,X,2002,34,,,,,,X,X,X,X,X,X
National,X,2002,35,,,,,,X,X,X,X,X,X
National,X,2002,36,,,,,,X,X,X,X,X,X
National,X,2002,37,,,,,,X,X,X,X,X,X
National,X,2002,38,,,,,,X,X,X,X,X,X
National,X,2002,39,,,,,,X,X,X,X,X,X
National,X,2002,40,2060,176569,754,1.222623284,1.166682713,582,805,524,X,X,149
National,X,2002,41,2267,186355,785,1.333438109,1.216495399,683,872,585,X,X,127
National,X,2002,42,2176,192469,831,1.319289669,1.130571676,642,878,543,X,X,113
National,X,2002,43,2599,207512,863,1.494835095,1.252457689,728,1045,672,X,X,154
National,X,2002,44,2907,223208,909,1.471947983,1.302372675,823,1189,741,X,X,154
National,X,2002,45,3225,229454,930,1.580940343,1.405510473,887,1272,886,X,X,180
National,X,2002,46,3097,223712,923,1.494263993,1.384369189,851,1173,898,X,X,175
National,X,2002,47,2967,223818,922,1.405686576,1.325630646,802,1166,817,X,X,182
National,X,2002,48,2709,188814,918,1.614101434,1.434745305,834,978,711,X,X,186
National,X,2002,49,3049,243078,937,1.459668206,1.254329886,857,1117,869,X,X,206
National,X,2002,50,2957,235136,928,1.598959346,1.257570087,804,1179,792,X,X,182
National,X,2002,51,3416,216179,908,2.166969083,1.580171987,951,1404,849,X,X,212
National,X,2002,52,2857,144287,865,2.578423394,1.980081366,915,937,828,X,X,177
National,X,2003,1,3260,171193,879,2.386360192,1.90428347,1028,1019,962,X,X,251
National,X,2003,2,3729,234513,926,1.736210116,1.590103747,1068,1296,1091,X,X,274
National,X,2003,3,4204,231550,902,2.062961863,1.815590585,1154,1798,1011,X,X,241
National,X,2003,4,5696,235566,927,2.581131645,2.418005994,1373,2998,1104,X,X,221
National,X,2003,5,7079,246969,884,2.939094704,2.866351647,1411,4064,1322,X,X,282
National,X,2003,6,7782,245751,889,3.225388956,3.166619871,1606,4447,1421,X,X,308
National,X,2003,7,7649,253656,903,3.069818765,3.015501309,1568,4224,1566,X,X,291
National,X,2003,8,7228,241110,871,3.200436069,2.997801833,1694,3689,1537,X,X,308
National,X,2003,9,5606,241683,857,2.448884152,2.319567367,1336,2583,1400,X,X,287
National,X,2003,10,4450,228549,839,2.134396442,1.947066056,1015,2103,1085,X,X,247
National,X,2003,11,3810,220250,835,1.998661995,1.72985244,880,1669,987,X,X,274
National,X,2003,12,2987,196724,795,1.938492213,1.518370916,737,1321,773,X,X,156
National,X,2003,13,2439,198913,775,1.412931617,1.226164202,624,1016,640,X,X,159
National,X,2003,14,2028,192349,741,1.23472204,1.054333529,506,846,541,X,X,135
National,X,2003,15,2082,194383,735,1.200046443,1.071081319,569,799,551,X,X,163
National,X,2003,16,1467,177577,669,0.910134875,0.8261205,440,539,382,X,X,106
National,X,2003,17,1445,176111,682,0.932265057,0.82050525,429,508,394,X,X,114
National,X,2003,18,1075,170406,655,0.692174768,0.630846332,275,444,272,X,X,84
National,X,2003,19,1005,157191,613,0.66940623,0.639349581,215,471,245,X,X,74
National,X,2003,20,836,142514,547,0.72770527,0.586609035,248,283,235,X,X,70
National,X,2003,21,740,95728,406,0.717700898,0.773023567,264,262,169,X,X,45
National,X,2003,22,641,81063,393,0.78939448,0.790743002,213,205,179,X,X,44
National,X,2003,23,563,79090,344,0.722129154,0.711847263,201,195,133,X,X,34
National,X,2003,24,620,78023,341,0.591326044,0.794637479,198,187,180,X,X,55
National,X,2003,25,423,72110,322,0.52306999,0.5866038,139,123,127,X,X,34
National,X,2003,26,441,71593,322,0.450236283,0.615982009,122,124,163,X,X,32
National,X,2003,27,318,64699,310,0.397421125,0.491506824,109,91,94,X,X,24
National,X,2003,28,441,72972,308,0.448001648,0.604341391,137,141,120,X,X,43
National,X,2003,29,365,69593,301,0.474767362,0.524478037,98,98,116,X,X,53
National,X,2003,30,420,71103,302,0.45325136,0.590692376,112,139,121,X,X,48
National,X,2003,31,361,71466,290,0.352157891,0.505135309,100,120,102,X,X,39
National,X,2003,32,443,69844,295,0.525321592,0.63427066,136,125,136,X,X,46
National,X,2003,33,421,69003,283,0.492990869,0.610118401,120,131,133,X,X,37
National,X,2003,34,450,70178,277,0.54272825,0.641226595,159,144,120,X,X,27
National,X,2003,35,463,70000,276,0.490346816,0.661428571,166,155,112,X,X,30
National,X,2003,36,519,65474,271,0.735913642,0.792681064,177,182,124,X,X,36
National,X,2003,37,475,74328,267,0.581771153,0.639059305,145,184,122,X,X,24
National,X,2003,38,461,72401,264,0.654161865,0.636731537,136,183,116,X,X,26
National,X,2003,39,533,71273,268,0.749504069,0.747828771,135,221,143,X,X,34
National,X,2003,40,2442,254144,830,0.884021204,0.960872576,808,881,607,X,X,146
National,X,2003,41,2932,281045,931,1.027730456,1.043249302,913,1132,696,X,X,191
National,X,2003,42,3031,287436,974,1.282963632,1.054495609,878,1147,811,X,X,195
National,X,2003,43,3475,312412,1007,1.32660537,1.112313227,1006,1369,884,X,X,216
National,X,2003,44,4690,331980,1074,1.773040098,1.412735707,1207,2080,1127,X,X,276
National,X,2003,45,5790,335258,1111,2.438136121,1.72702814,1542,2735,1249,X,X,264
National,X,2003,46,8385,348359,1141,2.726045319,2.406999676,2185,4133,1757,X,X,310
National,X,2003,47,11141,358275,1129,3.731922066,3.109622497,2561,5684,2425,X,X,471
National,X,2003,48,11742,272576,1118,4.548937518,4.307789387,3247,4933,2890,X,X,672
National,X,2003,49,18948,392274,1189,5.399064256,4.83029719,4734,7817,5330,X,X,1067
National,X,2003,50,24962,388269,1173,7.387353574,6.429047902,6620,11550,5573,X,X,1219
National,X,2003,51,23699,345097,1148,7.480971373,6.867344544,6434,9851,5906,X,X,1508
National,X,2003,52,16415,232344,1122,7.627967257,7.064955411,5336,5231,4517,X,X,1331
National,X,2003,53,11332,248992,1139,5.140514989,4.551150238,3391,2894,3827,X,X,1220
National,X,2004,1,7602,314349,1160,2.891294192,2.418331218,1930,2299,2605,X,X,768
National,X,2004,2,5583,308614,1141,2.104289836,1.809055973,1679,1857,1586,X,X,461
National,X,2004,3,4961,289774,1084,1.88695639,1.712023853,1721,1604,1276,X,X,360
National,X,2004,4,4436,287586,1071,1.776596642,1.542495115,1487,1543,1067,X,X,339
National,X,2004,5,4251,295646,1054,1.46000623,1.437868261,1454,1448,1047,X,X,302
National,X,2004,6,3824,288762,986,1.377869476,1.32427397,1420,1297,889,X,X,218
National,X,2004,7,3691,282347,1004,1.305323397,1.307256674,1301,1255,876,X,X,259
National,X,2004,8,2916,281202,948,1.086911039,1.036976977,956,1038,719,X,X,203
National,X,2004,9,2744,271597,894,0.991887735,1.010320438,925,910,682,X,X,227
National,X,2004,10,2708,257294,897,1.027653198,1.052492479,878,888,764,X,X,178
National,X,2004,11,2487,243802,849,1.057896021,1.020090073,730,826,756,X,X,175
National,X,2004,12,2300,248805,859,0.84936102,0.924418721,760,733,628,X,X,179
National,X,2004,13,1858,234998,828,0.747126665,0.790645027,610,611,495,X,X,142
National,X,2004,14,1705,212432,774,0.661707853,0.802609776,583,566,440,X,X,116
